sim_id	distance	allele0	allele1
SimX	0.000944  	1	1.55
SimX	0.00108   	1	1.5
SimX	0.00112   	1	1.5
SimX	0.00121   	1	1.55
SimX	0.00122   	1	1.45
SimX	0.00126   	1	1.4
SimX	0.0013    	1	1.45
SimX	0.0013    	1	1.4
SimX	0.00136   	1	1.45
SimX	0.00142   	1	1.6
SimX	0.00144   	1	1.55
SimX	0.00145   	1	1.45
SimX	0.00146   	1	1.45
SimX	0.00146   	1	1.45
SimX	0.00148   	1	1.5
SimX	0.0015    	1	1.45
SimX	0.00152   	1	1.45
SimX	0.00152   	1	1.6
SimX	0.00158   	1	1.5
SimX	0.00158   	1	1.45
SimX	0.00158   	1	1.55
SimX	0.0016    	1	1.55
SimX	0.00162   	1	1.4
SimX	0.00162   	1	1.45
SimX	0.00162   	1	1.55
SimX	0.00164   	1	1.45
SimX	0.00166   	1	1.7
SimX	0.00166   	1	1.55
SimX	0.00166   	1	1.5
SimX	0.00166   	1	1.55
SimX	0.00172   	1	1.6
SimX	0.00172   	1	1.4
SimX	0.00174   	1	1.45
SimX	0.00176   	1	1.6
SimX	0.00184   	1	1.4
SimX	0.00184   	1	1.5
SimX	0.00186   	1	1.55
SimX	0.0019    	1	1.6
SimX	0.00194   	1	1.55
SimX	0.00194   	1	1.4
SimX	0.002     	1	1.45
SimX	0.002     	1	1.45
SimX	0.002     	1	1.55
SimX	0.002     	1	1.5
SimX	0.00202   	1	1.45
SimX	0.00202   	1	1.6
SimX	0.00204   	1	1.5
SimX	0.00204   	1	1.6
SimX	0.00206   	1	1.45
SimX	0.00208   	1	1.4
SimX	0.00208   	1	1.4
SimX	0.00212   	1	1.5
SimX	0.00212   	1	1.4
SimX	0.00214   	1	1.4
SimX	0.00214   	1	1.4
SimX	0.00214   	1	1.4
SimX	0.00216   	1	1.45
SimX	0.00218   	1	1.5
SimX	0.00218   	1	1.4
SimX	0.00218   	1	1.5
SimX	0.00218   	1	1.5
SimX	0.00222   	1	1.45
SimX	0.00224   	1	1.4
SimX	0.00224   	1	1.4
SimX	0.00224   	1	1.4
SimX	0.00224   	1	1.6
SimX	0.00226   	1	1.45
SimX	0.00228   	1	1.65
SimX	0.00228   	1	1.65
SimX	0.0023    	1	1.65
SimX	0.0023    	1	1.55
SimX	0.00232   	1	1.65
SimX	0.00232   	1	1.45
SimX	0.00232   	1	1.4
SimX	0.00232   	1	1.65
SimX	0.00234   	1	1.5
SimX	0.00234   	1	1.5
SimX	0.00236   	1	1.6
SimX	0.00236   	1	1.55
SimX	0.00238   	1	1.65
SimX	0.00238   	1	1.65
SimX	0.0024    	1	1.45
SimX	0.00242   	1	1.45
SimX	0.00242   	1	1.4
SimX	0.00244   	1	1.45
SimX	0.00246   	1	1.45
SimX	0.00246   	1	1.45
SimX	0.00248   	1	1.5
SimX	0.0025    	1	1.45
SimX	0.0025    	1	1.6
SimX	0.0025    	1	1.3
SimX	0.0025    	1	1.65
SimX	0.0025    	1	1.6
SimX	0.0025    	1	1.55
SimX	0.0025    	1	1.45
SimX	0.0025    	1	1.45
SimX	0.00252   	1	1.45
SimX	0.00254   	1	1.7
SimX	0.00254   	1	1.4
SimX	0.00254   	1	1.45
SimX	0.00254   	1	1.5
SimX	0.00254   	1	1.45
SimX	0.00254   	1	1.45
SimX	0.00254   	1	1.5
SimX	0.00255   	1	1.4
SimX	0.00256   	1	1.55
SimX	0.00256   	1	1.7
SimX	0.00258   	1	1.4
SimX	0.00258   	1	1.5
SimX	0.0026    	1	1.4
SimX	0.0026    	1	1.45
SimX	0.0026    	1	1.4
