gen	allele	freq
0	0	1.0000000000
0	1	0.0000000000
1	0	1.0000000000
1	1	0.0000000000
2	0	1.0000000000
2	1	0.0000000000
3	0	1.0000000000
3	1	0.0000000000
4	0	0.9999700006
4	1	0.0000299994
5	0	0.9999400024
5	1	0.0000599976
6	0	0.9999300014
6	1	0.0000699986
7	0	0.9998900033
7	1	0.0001099967
8	0	0.9999299958
8	1	0.0000700042
9	0	0.9999599996
9	1	0.0000400004
10	0	0.9999400024
10	1	0.0000599976
11	0	0.9999299972
11	1	0.0000700028
12	0	0.9999099982
12	1	0.0000900018
13	0	0.9998799976
13	1	0.0001200024
14	0	0.9998500045
14	1	0.0001499955
15	0	0.9998100152
15	1	0.0001899848
