position	distance	allele0	allele1
N/A	5.62814e-11	1	1.34826
N/A	5.62814e-11	1	1.50066
N/A	5.02512e-05	1	1.31914
N/A	5.02512e-05	1	1.26615
N/A	5.02512e-05	1	1.39879
N/A	5.02512e-05	1	1.15502
N/A	5.02512e-05	1	1.03818
N/A	5.02512e-05	1	1.18215
N/A	5.02512e-05	1	1.39043
N/A	5.02512e-05	1	1.23886
N/A	5.02512e-05	1	1.55889
N/A	5.02512e-05	1	1.04793
N/A	5.02512e-05	1	1.36438
N/A	5.02512e-05	1	1.30449
N/A	5.02512e-05	1	1.18131
N/A	5.02512e-05	1	1.30356
N/A	5.02512e-05	1	1.39715
N/A	5.02512e-05	1	1.38288
N/A	5.02512e-05	1	1.16592
N/A	5.02512e-05	1	0.979155
N/A	5.02512e-05	1	1.00718
N/A	5.02512e-05	1	1.01465
N/A	5.02512e-05	1	1.23798
N/A	5.02512e-05	1	1.14132
N/A	5.02512e-05	1	1.32194
N/A	5.02512e-05	1	0.892932
N/A	5.02512e-05	1	1.257
N/A	5.02512e-05	1	1.23149
N/A	5.02512e-05	1	1.4425
N/A	5.02512e-05	1	1.33441
N/A	5.02512e-05	1	1.21396
N/A	5.02512e-05	1	0.937718
N/A	5.02512e-05	1	1.40935
N/A	5.02512e-05	1	0.950408
N/A	5.02512e-05	1	1.30752
N/A	5.02512e-05	1	1.08813
N/A	5.02512e-05	1	1.00961
N/A	5.02512e-05	1	1.1834
N/A	5.02512e-05	1	0.883892
N/A	5.02512e-05	1	1.2574
N/A	5.02512e-05	1	1.10098
N/A	5.02512e-05	1	1.20871
N/A	5.02512e-05	1	1.09242
N/A	5.02512e-05	1	1.17472
N/A	5.02512e-05	1	1.34692
N/A	5.02512e-05	1	0.716825
N/A	5.02512e-05	1	1.02594
N/A	5.02512e-05	1	1.03919
N/A	5.02512e-05	1	1.21998
N/A	5.02512e-05	1	1.0029
N/A	5.02512e-05	1	1.37877
N/A	5.02512e-05	1	1.2405
N/A	5.02512e-05	1	1.30649
N/A	5.02512e-05	1	1.35667
N/A	5.02512e-05	1	1.13448
N/A	5.02512e-05	1	1.49083
N/A	5.02512e-05	1	1.36642
N/A	5.02512e-05	1	1.20491
N/A	5.02512e-05	1	1.02486
N/A	0.000100002	1	0.915605
N/A	0.000100002	1	1.20685
N/A	0.000100002	1	0.995536
N/A	0.000100002	1	1.03749
N/A	0.000100002	1	0.835969
N/A	0.000100002	1	1.05236
N/A	0.000100002	1	1.22629
N/A	0.000100002	1	0.987123
N/A	0.000100002	1	1.04452
N/A	0.000100002	1	1.09152
N/A	0.000100002	1	1.00169
N/A	0.000100002	1	1.04546
N/A	0.000100002	1	1.24452
N/A	0.000100002	1	1.09587
N/A	0.000100002	1	0
N/A	0.000100002	1	0.957006
N/A	0.000100002	1	1.37584
N/A	0.000100002	1	0.873967
N/A	0.000100002	1	0.992986
N/A	0.000100002	1	0.263165
N/A	0.000100002	1	1.36339
N/A	0.000100002	1	1.00958
N/A	0.000100002	1	0.968091
N/A	0.000100002	1	1.17553
N/A	0.000100002	1	1.1874
N/A	0.000100002	1	1.04854
N/A	0.000100002	1	1.2124
N/A	0.000100002	1	0.94558
N/A	0.000100002	1	0.968147
N/A	0.000100002	1	1.22811
N/A	0.000100002	1	0.7674
N/A	0.000100002	1	0.631878
N/A	0.000100002	1	0.96022
N/A	0.000100002	1	0
N/A	0.000100002	1	1.34676
N/A	0.000100002	1	0
N/A	0.000100002	1	0.938161
N/A	0.000100002	1	0.651835
N/A	0.000100002	1	1.18822
N/A	0.000100002	1	0.861731
N/A	0.000100002	1	0.81656
N/A	0.000100002	1	1.03031
N/A	0.000100002	1	0.910268
N/A	0.000100002	1	0.638556
N/A	0.000100002	1	0.25295
N/A	0.000100002	1	1.00665
N/A	0.000100002	1	1.01404
N/A	0.000100002	1	1.23003
N/A	0.000100002	1	1.00677
N/A	0.000100002	1	0.959423
N/A	0.000100002	1	0.711906
N/A	0.000100002	1	0.921284
N/A	0.000100002	1	1.04677
N/A	0.000100002	1	1.20507
N/A	0.000100002	1	1.03797
N/A	0.000100002	1	1.47415
N/A	0.000100002	1	0.867579
N/A	0.000100002	1	1.12895
N/A	0.000100002	1	1.2743
N/A	0.000100002	1	1.0019
N/A	0.000100002	1	1.13925
N/A	0.000100002	1	1.00027
N/A	0.000100002	1	0.817271
N/A	0.000100002	1	0.817045
N/A	0.000100002	1	0
N/A	0.000100002	1	0.952924
N/A	0.000100002	1	1.22186
N/A	0.000100002	1	1.10982
N/A	0.000100002	1	1.00704
N/A	0.000100002	1	1.10204
N/A	0.000100002	1	1.02171
N/A	0.000100002	1	1.13103
N/A	0.000100002	1	1.13727
N/A	0.000100002	1	0.941946
N/A	0.000100002	1	0.955801
N/A	0.000100002	1	1.09348
N/A	0.000100002	1	1.04527
N/A	0.000100002	1	1.07437
N/A	0.000100002	1	0.696941
N/A	0.000100002	1	1.07496
N/A	0.000100002	1	1.05669
N/A	0.000100002	1	0.411073
N/A	0.000100002	1	1.20976
N/A	0.000100002	1	0.967449
N/A	0.000100002	1	0.704954
N/A	0.000100002	1	1.0258
N/A	0.000100002	1	0.459181
N/A	0.000100002	1	1.24996
N/A	0.000100002	1	0.997761
N/A	0.000100002	1	1.19227
N/A	0.000100002	1	1.07781
N/A	0.000100002	1	1.0387
N/A	0.000100002	1	0.524735
N/A	0.000100002	1	0.968653
N/A	0.000100002	1	0.922005
N/A	0.000100002	1	1.07419
N/A	0.000100002	1	1.0106
N/A	0.000100002	1	0.859188
N/A	0.000100002	1	1.03709
N/A	0.000100002	1	1.29894
N/A	0.000100002	1	1.11117
N/A	0.000100002	1	1.02538
N/A	0.000100002	1	1.05044
N/A	0.000100002	1	1.18538
N/A	0.000100002	1	0.513899
N/A	0.000100002	1	1.12195
N/A	0.000100002	1	1.04712
N/A	0.000100002	1	1.06858
N/A	0.000100002	1	1.31306
N/A	0.000100002	1	0.997648
N/A	0.000100002	1	1.02672
N/A	0.000100002	1	0.709888
N/A	0.000100002	1	0.890827
N/A	0.000100002	1	1.00306
N/A	0.000100002	1	1.16453
N/A	0.000100002	1	0.950482
N/A	0.000100002	1	0.935396
N/A	0.000100002	1	1.07297
N/A	0.000100002	1	1.0207
N/A	0.000100002	1	1.00568
N/A	0.000100002	1	0.983788
N/A	0.000100002	1	1.05874
N/A	0.000100002	1	0.981579
N/A	0.000100002	1	1.06657
N/A	0.000100002	1	0.869599
N/A	0.000100002	1	0.743793
N/A	0.000100002	1	1.10556
N/A	0.000100002	1	0.940547
N/A	0.000100002	1	0.859407
N/A	0.000100002	1	1.02653
N/A	0.000100002	1	0.515736
N/A	0.000100002	1	0.493603
N/A	0.000100002	1	0.952738
N/A	0.000100002	1	0.910659
N/A	0.000100002	1	0.854322
N/A	0.000100002	1	1.02648
N/A	0.000100002	1	0.82351
N/A	0.000100002	1	0
N/A	0.000100002	1	0.953363
