position	distance	allele0	allele1
N/A	0.0102263	1	0
N/A	0.0102303	1	0
N/A	0.0102323	1	0
N/A	0.0102323	1	0
N/A	0.0102343	1	0
N/A	0.0102383	1	0
N/A	0.0102383	1	0
N/A	0.0102383	1	0
N/A	0.0102403	1	0
N/A	0.0102403	1	0
N/A	0.0102403	1	0
N/A	0.0102423	1	0
N/A	0.0102423	1	0
N/A	0.0102423	1	0
N/A	0.0102423	1	0
N/A	0.0102423	1	0
N/A	0.0102423	1	0
N/A	0.0102423	1	0
N/A	0.0102443	1	0
N/A	0.0102443	1	0
N/A	0.0102443	1	0
N/A	0.0102443	1	0
N/A	0.0102443	1	0
N/A	0.0102463	1	0
N/A	0.0102463	1	0
N/A	0.0102463	1	0
N/A	0.0102463	1	0
N/A	0.0102463	1	0
N/A	0.0102463	1	0
N/A	0.0102463	1	0
N/A	0.0102463	1	0
N/A	0.0102483	1	0
N/A	0.0102483	1	0
N/A	0.0102483	1	0
N/A	0.0102483	1	0
N/A	0.0102483	1	0
N/A	0.0102483	1	0
N/A	0.0102483	1	0
N/A	0.0102483	1	0
N/A	0.0102483	1	0
N/A	0.0102483	1	0
N/A	0.0102483	1	0
N/A	0.0102483	1	0
N/A	0.0102483	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102503	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102523	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0.0477587
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102543	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0
N/A	0.0102563	1	0.101294
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0.0607067
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0
N/A	0.0102583	1	0.00951368
N/A	0.0102583	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102603	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0.0443838
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0.145426
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102623	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0
N/A	0.0102643	1	0.0714942
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0.0353016
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0.0439841
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0.1008
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0.159211
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102663	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
N/A	0.0102683	1	0
