position	distance	allele0	allele1
N/A	0	1	0.60444
N/A	0	1	0.465674
N/A	0	1	1.21494
N/A	0	1	0.641393
N/A	0	1	0.87919
N/A	0	1	0.833583
N/A	0	1	1.09298
N/A	0	1	0.490518
N/A	0	1	0.973586
N/A	0	1	0.916251
N/A	0	1	0
N/A	0	1	0.928715
N/A	0	1	1.02837
N/A	0	1	0.979204
N/A	0	1	0.975575
N/A	0	1	0.563534
N/A	0	1	0.950092
N/A	0	1	1.24651
N/A	0	1	0
N/A	0	1	0.858362
N/A	0	1	0.740156
N/A	0	1	1.0177
N/A	0	1	0.963169
N/A	0	1	0
N/A	0	1	1.04063
N/A	0	1	0.884873
N/A	0	1	0.868418
N/A	0	1	0.939864
N/A	0	1	1.0355
N/A	0	1	0.301668
N/A	0	1	1.14018
N/A	0	1	0.436524
N/A	0	1	1.32284
N/A	0	1	0.284071
N/A	0	1	0
N/A	0	1	0.901104
N/A	0	1	0.975647
N/A	0	1	0.812672
N/A	0	1	0.475104
N/A	0	1	0
N/A	0	1	0.903787
N/A	0	1	0.326471
N/A	0	1	0.71111
N/A	0	1	0
N/A	0	1	0.686139
N/A	0	1	0.784979
N/A	0	1	1.12574
N/A	0	1	0.944534
N/A	0	1	0.448475
N/A	0	1	0.947428
N/A	0	1	0.540377
N/A	0	1	0.37328
N/A	0	1	0.954349
N/A	0	1	0.97085
N/A	0	1	0.991029
N/A	0	1	0
N/A	0	1	0.909511
N/A	0	1	0.208994
N/A	0	1	0.698091
N/A	0	1	0.270606
N/A	0	1	0
N/A	0	1	0.78921
N/A	0	1	0.986962
N/A	0	1	0.639922
N/A	0	1	0
N/A	0	1	0.381118
N/A	0	1	0.914415
N/A	0	1	0.838401
N/A	0	1	0.736832
N/A	0	1	0.973633
N/A	0	1	0.901888
N/A	0	1	0
N/A	0	1	1.02473
N/A	0	1	0
N/A	0	1	0.38561
N/A	0	1	0.88991
N/A	0	1	1.02521
N/A	0	1	0.73253
N/A	0	1	0.650096
N/A	0	1	0.898611
N/A	0	1	0.810219
N/A	0	1	0.820944
N/A	0	1	0.84548
