gen	allele	freq
0	0	1.0000000000
0	1	0.0000000000
1	0	1.0000000000
1	1	0.0000000000
2	0	1.0000000000
2	1	0.0000000000
3	0	1.0000000000
3	1	0.0000000000
4	0	1.0000000000
4	1	0.0000000000
5	0	1.0000000000
5	1	0.0000000000
6	0	1.0000000000
6	1	0.0000000000
7	0	1.0000000000
7	1	0.0000000000
8	0	1.0000000000
8	1	0.0000000000
9	0	1.0000000000
9	1	0.0000000000
10	0	1.0000000000
10	1	0.0000000000
11	0	1.0000000000
11	1	0.0000000000
12	0	1.0000000000
12	1	0.0000000000
13	0	1.0000000000
13	1	0.0000000000
14	0	1.0000000000
14	1	0.0000000000
15	0	1.0000000000
15	1	0.0000000000
