gen	allele	freq	position
0	0	1	1
0	1	0	1
1	0	1	1
1	1	0	1
2	0	0.99999	1
2	1	1e-05	1
3	0	0.9999899998	1
3	1	1.00002e-05	1
4	0	0.9999899998	1
4	1	1.00002e-05	1
5	0	0.9999600016	1
5	1	3.99984e-05	1
6	0	0.9999599992	1
6	1	4.00008e-05	1
7	0	0.9999599984	1
7	1	4.00016e-05	1
8	0	0.9999500015	1
8	1	4.99985e-05	1
9	0	0.99993	1
9	1	7e-05	1
10	0	0.9999199984	1
10	1	8.00016e-05	1
11	0	0.9999200016	1
11	1	7.99984e-05	1
12	0	0.9999299986	1
12	1	7.00014e-05	1
13	0	0.9998900044	1
13	1	0.0001099956	1
14	0	0.999919992	1
14	1	8.0008e-05	1
15	0	0.9999100018	1
15	1	8.99982e-05	1
0	0	1	2
0	1	0	2
1	0	0.99999	2
1	1	1e-05	2
2	0	0.9999899998	2
2	1	1.00002e-05	2
3	0	0.99998	2
3	1	2e-05	2
4	0	0.9999699985	2
4	1	3.00015e-05	2
5	0	0.9999799998	2
5	1	2.00002e-05	2
6	0	0.9999200056	2
6	1	7.99944e-05	2
7	0	0.9999399958	2
7	1	6.00042e-05	2
8	0	0.9999699997	2
8	1	3.00003e-05	2
9	0	0.9999899996	2
9	1	1.00004e-05	2
10	0	0.9999699997	2
10	1	3.00003e-05	2
11	0	0.9999599988	2
11	1	4.00012e-05	2
12	0	0.9999699991	2
12	1	3.00009e-05	2
13	0	0.9999599984	2
13	1	4.00016e-05	2
14	0	0.9999200024	2
14	1	7.99976e-05	2
15	0	0.9999199968	2
15	1	8.00032e-05	2
0	0	1	3
0	1	0	3
1	0	0.99999	3
1	1	1e-05	3
2	0	0.99999	3
2	1	1e-05	3
3	0	0.9999899997	3
3	1	1.00003e-05	3
4	0	0.9999700006	3
4	1	2.99994e-05	3
5	0	0.9999599984	3
5	1	4.00016e-05	3
6	0	0.99998	3
6	1	2e-05	3
7	0	0.9999699997	3
7	1	3.00003e-05	3
8	0	0.9999600004	3
8	1	3.99996e-05	3
9	0	0.9999400006	3
9	1	5.99994e-05	3
10	0	0.99992	3
10	1	8e-05	3
11	0	0.9999399928	3
11	1	6.00072e-05	3
12	0	0.9999399988	3
12	1	6.00012e-05	3
13	0	0.9999100054	3
13	1	8.99946e-05	3
14	0	0.9999199992	3
14	1	8.00008e-05	3
15	0	0.9998900044	3
15	1	0.0001099956	3
0	0	1	4
0	1	0	4
1	0	1	4
1	1	0	4
2	0	1	4
2	1	0	4
3	0	1	4
3	1	0	4
4	0	1	4
4	1	0	4
5	0	1	4
5	1	0	4
6	0	0.9999700009	4
6	1	2.99991e-05	4
7	0	0.9999799992	4
7	1	2.00008e-05	4
8	0	0.9999700003	4
8	1	2.99997e-05	4
9	0	0.9999300042	4
9	1	6.99958e-05	4
10	0	0.999900009	4
10	1	9.9991e-05	4
11	0	0.9998100209	4
11	1	0.0001899791	4
12	0	0.9998599944	4
12	1	0.0001400056	4
13	0	0.9998200054	4
13	1	0.0001799946	4
14	0	0.99983	4
14	1	0.00017	4
15	0	0.9998300051	4
15	1	0.0001699949	4
0	0	1	5
0	1	0	5
1	0	1	5
1	1	0	5
2	0	0.9999800004	5
2	1	1.99996e-05	5
3	0	0.9999899998	5
3	1	1.00002e-05	5
4	0	0.99997	5
4	1	3e-05	5
5	0	0.9999599988	5
5	1	4.00012e-05	5
6	0	0.9999500005	5
6	1	4.99995e-05	5
7	0	0.999959998	5
7	1	4.0002e-05	5
8	0	0.9999400012	5
8	1	5.99988e-05	5
9	0	0.9999100018	5
9	1	8.99982e-05	5
10	0	0.999899996	5
10	1	0.000100004	5
11	0	0.999900002	5
11	1	9.9998e-05	5
12	0	0.9998700026	5
12	1	0.0001299974	5
13	0	0.9998100114	5
13	1	0.0001899886	5
14	0	0.9997700161	5
14	1	0.0002299839	5
15	0	0.9998099867	5
15	1	0.0001900133	5
0	0	1	6
0	1	0	6
1	0	0.99998	6
1	1	2e-05	6
2	0	0.9999799998	6
2	1	2.00002e-05	6
3	0	0.9999899998	6
3	1	1.00002e-05	6
4	0	0.9999899998	6
4	1	1.00002e-05	6
5	0	0.9999800004	6
5	1	1.99996e-05	6
6	0	0.9999699994	6
6	1	3.00006e-05	6
7	0	0.9999600012	6
7	1	3.99988e-05	6
8	0	0.9999300014	6
8	1	6.99986e-05	6
9	0	0.9998899989	6
9	1	0.0001100011	6
10	0	0.999850012	6
10	1	0.000149988	6
11	0	0.9997900021	6
11	1	0.0002099979	6
12	0	0.999799988	6
12	1	0.000200012	6
13	0	0.9997200112	6
13	1	0.0002799888	6
14	0	0.9997599952	6
14	1	0.0002400048	6
15	0	0.9997100029	6
15	1	0.0002899971	6
0	0	1	7
0	1	0	7
1	0	0.99999	7
1	1	1e-05	7
2	0	0.9999600016	7
2	1	3.99984e-05	7
3	0	0.9999599996	7
3	1	4.00004e-05	7
4	0	0.999949998	7
4	1	5.0002e-05	7
5	0	0.9999500015	7
5	1	4.99985e-05	7
6	0	0.9999200016	7
6	1	7.99984e-05	7
7	0	0.9999300007	7
7	1	6.99993e-05	7
8	0	0.999900006	7
8	1	9.9994e-05	7
9	0	0.9999199928	7
9	1	8.00072e-05	7
10	0	0.999939997	7
10	1	6.0003e-05	7
11	0	0.9999100036	7
11	1	8.99964e-05	7
12	0	0.9999699967	7
12	1	3.00033e-05	7
13	0	0.9999699991	7
13	1	3.00009e-05	7
14	0	0.99996	7
14	1	4e-05	7
15	0	0.9999400012	7
15	1	5.99988e-05	7
0	0	1	8
0	1	0	8
1	0	0.9999800002	8
1	1	1.99998e-05	8
2	0	0.999950001	8
2	1	4.9999e-05	8
3	0	0.999950001	8
3	1	4.9999e-05	8
4	0	0.9999400006	8
4	1	5.99994e-05	8
5	0	0.9999100045	8
5	1	8.99955e-05	8
6	0	0.9998100038	8
6	1	0.0001899962	8
7	0	0.99975	8
7	1	0.00025	8
8	0	0.999699997	8
8	1	0.000300003	8
9	0	0.9996200456	8
9	1	0.0003799544	8
10	0	0.99959	8
10	1	0.00041	8
11	0	0.9995300094	8
11	1	0.0004699906	8
12	0	0.99942	8
12	1	0.00058	8
13	0	0.9994400168	8
13	1	0.0005599832	8
14	0	0.9993300134	8
14	1	0.0006699866	8
15	0	0.9993	8
15	1	7e-04	8
0	0	1	9
0	1	0	9
1	0	1	9
1	1	0	9
2	0	0.9999799996	9
2	1	2.00004e-05	9
3	0	0.9999600008	9
3	1	3.99992e-05	9
4	0	0.9999100063	9
4	1	8.99937e-05	9
5	0	0.9999299986	9
5	1	7.00014e-05	9
6	0	0.9998700117	9
6	1	0.0001299883	9
7	0	0.9998200036	9
7	1	0.0001799964	9
8	0	0.9998199874	9
8	1	0.0001800126	9
9	0	0.9997899958	9
9	1	0.0002100042	9
10	0	0.9998300085	9
10	1	0.0001699915	9
11	0	0.9998899934	9
11	1	0.0001100066	9
12	0	0.9998899956	9
12	1	0.0001100044	9
13	0	0.99988	9
13	1	0.00012	9
14	0	0.9999099991	9
14	1	9.00009e-05	9
15	0	0.9999199992	9
15	1	8.00008e-05	9
0	0	1	10
0	1	0	10
1	0	1	10
1	1	0	10
2	0	1	10
2	1	0	10
3	0	0.9999800004	10
3	1	1.99996e-05	10
4	0	0.9999800004	10
4	1	1.99996e-05	10
5	0	0.9999799998	10
5	1	2.00002e-05	10
6	0	0.9999799996	10
6	1	2.00004e-05	10
7	0	0.9999899998	10
7	1	1.00002e-05	10
8	0	0.99998	10
8	1	2e-05	10
9	0	0.9999799998	10
9	1	2.00002e-05	10
10	0	0.9999799998	10
10	1	2.00002e-05	10
11	0	0.99994	10
11	1	6e-05	10
12	0	0.9998900022	10
12	1	0.0001099978	10
13	0	0.9998500045	10
13	1	0.0001499955	10
14	0	0.9999299944	10
14	1	7.00056e-05	10
15	0	0.9998900022	10
15	1	0.0001099978	10
